geom,Name_fi,Address_fi,Link_fi,Link_en,Selite_fi,Selite_en
"POINT (25495744 6672506)",Leikkipaikka Työmiehenpuistikko,"Lastenkodinkatu 9, 00180 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Työmiehenpuistikko</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25501390 6690661)",Leikkipaikka Ilolanpuisto,"Soittajankuja 2, 01390 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Ilolanpuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Ilolanpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25501271 6688611)",Leikkipaikka Pietaryrtinpuisto,"Pietaryrtintie 12, 01350 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Pietaryrtinpuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Pietaryrtinpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25490557 6680885)",Uusmäen leikkipaikka,"Sotilastorpantie 5, 02680 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/uusmaen-leikkipaikka"" target=""_palvelu"">Uusmäen leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/uusmaki-playground"" target=""_palvelu"">Uusmäki playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25505742 6690199)",Leikkipaikka Ester Koskelaisen puisto,"Tuulikintie 33, 01420 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Ester Koskelaisen puisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Ester Koskelaisen puisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25501221 6686794)",Leikkipaikka Kirvelipuisto,"Peltolantie 12b, 01300 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Kirvelipuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Kirvelipuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25487993 6679949)",Nurmilinnunpuiston leikkipaikka,"Rastaspuistontie 10, 02620 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/nurmilinnunpuiston-leikkipaikka"" target=""_palvelu"">Nurmilinnunpuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/nurmilinnunpuisto-playground"" target=""_palvelu"">Nurmilinnunpuisto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25492119 6679275)",Leikkipaikka Kolkkapojanpuisto,"Viinenkuja 8, 00370 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kolkkapojanpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25498274 6678667)",Leikkipaikka Pikkukosken puistometsä,"Juhana-herttuan tie 13, 00600 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Pikkukosken puistometsä</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502174 6689058)",Leikkipaikka Uudenrajanpuisto,"Uusiraja 7, 01350 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Uudenrajanpuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Uudenrajanpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25481107 6676774)",Entressen leikkipaikka,"Kiltaraitti 2, 02770 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/entressen-leikkipaikka"" target=""_palvelu"">Entressen leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/entresse-playground"" target=""_palvelu"">Entresse playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25488096 6679740)",Leppälinnunkujan leikkipaikka,"Leppälinnunpolku 13, 02620 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/leppalinnunkujan-leikkipaikka"" target=""_palvelu"">Leppälinnunkujan leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/leppalinnunkuja-playground"" target=""_palvelu"">Leppälinnunkuja playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25497466 6671462)",Leikkipaikka Kaivopuisto,"Puistokatu 4, 00140 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kaivopuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25497118 6671809)",Leikkipaikka Vuorimiehenpuistikko,"Vuorimiehenkatu 23a, 00140 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Vuorimiehenpuistikko</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
