geom,Name_fi,Address_fi,Link_fi,Link_en,Selite_fi,Selite_en
"POINT (25485095 6672856)",Olarin asukaspuisto,"Meteorinkatu 7, 02210 Espoo","<a href=""https://www.espoo.fi/fi/olarin-asukaspuisto"" target=""_palvelu"">Olarin asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/olarin-asukaspuisto"" target=""_palvelu"">Olarin asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25502459 6677431)",Leikkipuisto Hilleri,"Hillerikuja 6, 00800 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-hilleri"" target=""_palvelu"">Leikkipuisto Hilleri</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-hilleri"" target=""_palvelu"">Playground Hilleri</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25479780 6671150)",Kivenlahden asukaspuisto,"Merivirta 12 A, 02320 Espoo","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/kivenlahden-asukaspuisto"" target=""_palvelu"">Kivenlahden asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/kivenlahden-asukaspuisto"" target=""_palvelu"">Kivenlahden asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25491857 6680089)",Leikkipuisto Vähätupa,"Vähäntuvantie 4a, 00390 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-vahatupa"" target=""_palvelu"">Leikkipuisto Vähätupa</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-vahatupa"" target=""_palvelu"">Playground Vähätupa</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25485540 6687811)",Hiirisuon asukaspuisto,"Pohjoisentie 1, 02970 Espoo","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/hiirisuon-asukaspuisto"" target=""_palvelu"">Hiirisuon asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/hiirisuon-asukaspuisto"" target=""_palvelu"">Hiirisuon asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25481253 6673973)",Latokasken asukaspuisto,"Lehtikaskentie 7, 02340 Espoo","<a href=""https://www.espoo.fi/fi/latokasken-asukaspuisto"" target=""_palvelu"">Latokasken asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/latokasken-asukaspuisto"" target=""_palvelu"">Latokasken asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25500718 6680513)",Leikkipuisto Maasälpä,"Maasälväntie 3a, 00710 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maasalpa"" target=""_palvelu"">Leikkipuisto Maasälpä</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maasalpa"" target=""_palvelu"">Playground Maasälpä</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25498536 6672684)",Perhetalo Kuutti,"Merikasarminkatu 8, 00160 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/perhetalo-kuutti"" target=""_palvelu"">Perhetalo Kuutti</a>","<a href=""https://www.hel.fi/en/childhood-and-education/family-house-kuutti"" target=""_palvelu"">Family House Kuutti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25501558 6684678)",Leikkipuisto Maatulli,"Maatullinkuja 8 K, 00750 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maatulli"" target=""_palvelu"">Leikkipuisto Maatulli</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maatulli"" target=""_palvelu"">Playground Maatulli</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25493365 6680978)",Leikkipuisto Kannelmäki,"Kanneltie 1a, 00420 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kannelmaki"" target=""_palvelu"">Leikkipuisto Kannelmäki</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kannelmaki"" target=""_palvelu"">Playground Kannelmäki</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497270 6682899)",Leikkipuisto Torpparinmäki,"Käräjätuvantie 3, 00690 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ja-perhetalo-torpparinmaki"" target=""_palvelu"">Leikkipuisto Torpparinmäki</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ja-perhetalo-torpparinmaki"" target=""_palvelu"">Playground Torpparinmäki</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25498691 6676831)",Leikkipuisto Arabia,"Arabianpolku 1 A, 00560 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-arabia"" target=""_palvelu"">Leikkipuisto Arabia</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-arabia"" target=""_palvelu"">Playground Arabia</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25499315 6684749)",Leikkipuisto Jalopeura,"Jalopeurantie 8, 00740 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-jalopeura"" target=""_palvelu"">Leikkipuisto Jalopeura</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-jalopeura"" target=""_palvelu"">Playground Jalopeura</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497769 6681140)",Leikkipuisto Etupelto,"Etupellontie 8, 00680 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-etupelto"" target=""_palvelu"">Leikkipuisto Etupelto</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-etupelto"" target=""_palvelu"">Playground Etupelto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25500113 6684237)",Leikkipuisto Kesanto,"Kesantotie 13, 00740 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kesanto"" target=""_palvelu"">Leikkipuisto Kesanto</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kesanto"" target=""_palvelu"">Playground Kesanto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492743 6678404)",Leikkipuisto Strömberg,"Strömberginpolku 5, 00380 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-stromberg"" target=""_palvelu"">Leikkipuisto Strömberg</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-stromberg"" target=""_palvelu"">Playground Strömberg</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25489985 6679743)",Leppävaaran asukaspuisto,"Pikkulinnunreitti 16 A, 02660 Espoo","<a href=""https://www.espoo.fi/fi/leppavaaran-asukaspuisto"" target=""_palvelu"">Leppävaaran asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/leppavaaran-asukaspuisto"" target=""_palvelu"">Leppävaaran asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497734 6677629)",Leikkipuisto Intia,"Intiankatu 44, 00560 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-intia"" target=""_palvelu"">Leikkipuisto Intia</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-intia"" target=""_palvelu"">Playground Intia</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25503242 6674230)",Leikkipuisto Kiiltotähti,"Ilomäentie 8, 00840 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kiiltotahti"" target=""_palvelu"">Leikkipuisto Kiiltotähti</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kiiltotahti"" target=""_palvelu"">Playground Kiiltotähti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25503503 6680362)",Leikkipuisto Kipinäpuisto,"Kivikonkaari 31, 00940 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kipinapuisto"" target=""_palvelu"">Leikkipuisto Kipinäpuisto</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kipinapuisto"" target=""_palvelu"">Playground Kipinäpuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492934 6676385)",Leikkipuisto Munkki,"Perustie 38, 00330 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-munkki"" target=""_palvelu"">Leikkipuisto Munkki</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-munkki"" target=""_palvelu"">Playground Munkki</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497237 6675118)",Leikkipuisto Brahe,"Porvoonkatu 4, 00510 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-brahe"" target=""_palvelu"">Leikkipuisto Brahe</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-brahe"" target=""_palvelu"">Playground Brahe</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492627 6680613)",Leikkipuisto Trumpetti,"Trumpettikuja 5, 00420 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-trumpetti"" target=""_palvelu"">Leikkipuisto Trumpetti</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-trumpetti"" target=""_palvelu"">Playground Trumpetti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25501844 6679703)",Leikkipuisto Viikkari,"Laivuri Petterin kuja 3, 00790 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-viikkari"" target=""_palvelu"">Leikkipuisto Viikkari</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-viikkari"" target=""_palvelu"">Playground Viikkari</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25506857 6685675)","Nissaksen asukaspuisto ja avoin kohtaamispaikka, Hakunila","Nissaksentie 9, 01200 Vantaa","<a href=""https://www.vantaa.fi/varhaiskasvatus_ja_koulutus/varhaiskasvatus/palvelut/asukaspuistot_ja_avoimet_paivakodit/hakunila"" target=""_palvelu"">Nissaksen asukaspuisto ja avoin kohtaamispaikka, Hakunila</a>","<a href=""https://www.vantaa.fi/varhaiskasvatus_ja_koulutus/varhaiskasvatus/palvelut/asukaspuistot_ja_avoimet_paivakodit/hakunila"" target=""_palvelu""></a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25503703 6678648)",Leikkipuisto Myllynsiipi,"Yläkivenrinne 6, 00920 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-myllynsiipi"" target=""_palvelu"">Leikkipuisto Myllynsiipi</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-myllynsiipi"" target=""_palvelu"">Playground Myllynsiipi</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25488846 6674730)",Tapiolan asukaspuisto,"Louhenkuja 4, 02130 Espoo","<a href=""https://www.espoo.fi/fi/tapiolan-asukaspuisto"" target=""_palvelu"">Tapiolan asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/tapiolan-asukaspuisto"" target=""_palvelu"">Tapiolan asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25496639 6671775)",Leikkipuisto Seppä,"Sepänkatu 2, 00150 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-seppa"" target=""_palvelu"">Leikkipuisto Seppä</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-seppa"" target=""_palvelu"">Playground Seppä</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25495813 6676284)",Leikkipuisto Sanna,"Pasilan puistotie 8, 00240 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-sanna"" target=""_palvelu"">Leikkipuisto Sanna</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-sanna"" target=""_palvelu"">Playground Sanna</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25496755 6677443)",Leikkipuisto Kimmo,"Turjantie 3, 00610 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kimmo"" target=""_palvelu"">Leikkipuisto Kimmo</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kimmo"" target=""_palvelu"">Playground Kimmo</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25504171 6680342)",Leikkipuisto Kiikku,"Kiikku 6, 00940 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kiikku"" target=""_palvelu"">Leikkipuisto Kiikku</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kiikku"" target=""_palvelu"">Playground Kiikku</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497758 6679541)",Leikkipuisto Mäkitorppa,"Mäkitorpantie 42, 00640 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-makitorppa"" target=""_palvelu"">Leikkipuisto Mäkitorppa</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-makitorppa"" target=""_palvelu"">Playground Mäkitorppa</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25491610 6684518)","Vihertien asukaspuisto ja avoin kohtaamispaikka, Martinlaakso","Vihertie 56 e, 01620 Vantaa","<a href=""https://www.vantaa.fi/varhaiskasvatus_ja_koulutus/varhaiskasvatus/palvelut/asukaspuistot_ja_avoimet_paivakodit/myyrmaki"" target=""_palvelu"">Vihertien asukaspuisto ja avoin kohtaamispaikka, Martinlaakso</a>","<a href=""https://www.vantaa.fi/day_care_and_education/early_childhood_education/early_childhood_education_options/residential_parks_and_open_day_care_centers"" target=""_palvelu""></a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25495521 6673758)",Leikkipuisto Taivallahti,"Pohjoinen Hesperiankatu 22, 00260 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-taivallahti"" target=""_palvelu"">Leikkipuisto Taivallahti</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-taivallahti"" target=""_palvelu"">Playground Taivallahti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25477726 6675669)",Kylätalo Palttinan asukaspuisto,"Tegelhagen 4, 02780 Espoo","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/kylatalo-palttinan-asukaspuisto#section-20137"" target=""_palvelu"">Kylätalo Palttinan asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/kylatalo-palttinan-asukaspuisto#section-20137"" target=""_palvelu"">Kylätalo Palttinan asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25499470 6681396)",Leikkipuisto Unikko,"Unikkotie 8, 00720 Helsinki",Leikkipuisto Unikko,Playground Unikko,Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497633 6676041)",Leikkipuisto Vallila,"Kangasalantie 11, 00550 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-vallila"" target=""_palvelu"">Leikkipuisto Vallila</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-vallila"" target=""_palvelu"">Playground Vallila</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25494920 6675680)",Leikkipuisto Tullinpuomi,"Mannerheimintie 81a, 00270 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-tullinpuomi"" target=""_palvelu"">Leikkipuisto Tullinpuomi</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-tullinpuomi"" target=""_palvelu"">Playground Tullinpuomi</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25500376 6685355)",Leikkipuisto Linnunrata,"Linnunradantie 8, 00740 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-linnunrata"" target=""_palvelu"">Leikkipuisto Linnunrata</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-linnunrata"" target=""_palvelu"">Playground Linnunrata</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25503253 6684313)",Leikkipuisto Nurkka,"Nurkkatie 2, 00760 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-nurkka"" target=""_palvelu"">Leikkipuisto Nurkka</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-nurkka"" target=""_palvelu"">Playground Nurkka</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492377 6679599)",Leikkipuisto Nuoli,"Nuolitie 5, 00370 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-nuoli"" target=""_palvelu"">Leikkipuisto Nuoli</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-nuoli"" target=""_palvelu"">Playground Nuoli</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492056 6681289)",Leikkipuisto Piika,"Arentikuja 5, 00410 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-piika"" target=""_palvelu"">Leikkipuisto Piika</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-piika"" target=""_palvelu"">Playground Piika</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25496046 6679820)",Leikkipuisto Maunula,"Kuusikkotie 2a, 00630 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maunula"" target=""_palvelu"">Leikkipuisto Maunula</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maunula"" target=""_palvelu"">Playground Maunula</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25503772 6680848)",Perhetalo Naapuri / Asukastila Kivenkolo,"Kivikonkaari 11, 00940 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/perhetalo-naapuri"" target=""_palvelu"">Perhetalo Naapuri / Asukastila Kivenkolo</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/perhetalo-naapuri"" target=""_palvelu"">Family House Naapuri / Asukastila Kivenkolo</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25500868 6682771)",Leikkipuisto Kotinummi,"Uudenpellonkuja 5, 00700 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kotinummi"" target=""_palvelu"">Leikkipuisto Kotinummi</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kotinummi"" target=""_palvelu"">Playground Kotinummi</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25486942 6679708)",Karakallion asukaspuisto,"Kotkatie 10, 02620 Espoo","<a href=""https://www.espoo.fi/fi/karakallion-asukaspuisto"" target=""_palvelu"">Karakallion asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/karakallion-asukaspuisto"" target=""_palvelu"">Karakallion asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25500908 6683903)",Leikkipuisto Kurranummi,"Kotinummentie 51, 00730 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kurranummi"" target=""_palvelu"">Leikkipuisto Kurranummi</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kurranummi"" target=""_palvelu"">Playground Kurranummi</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25502194 6673177)",Leikkipuisto Rudolf,"Rudolfintie 8, 00870 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-rudolf"" target=""_palvelu"">Leikkipuisto Rudolf</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-rudolf"" target=""_palvelu"">Playground Rudolf</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25507800 6676869)",Leikkipuisto Mustakivi,"Vedenottamontie 6, 00980 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-mustakivi"" target=""_palvelu"">Leikkipuisto Mustakivi</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-mustakivi"" target=""_palvelu"">Playground Mustakivi</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25502089 6674898)",Leikkipuisto Tuorinniemi,"Agnetankuja 4, 00810 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-tuorinniemi"" target=""_palvelu"">Leikkipuisto Tuorinniemi</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-tuorinniemi"" target=""_palvelu"">Playground Tuorinniemi</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25481846 6676874)",Suvelan asukaspuisto,"Kirstintie 24, 02760 Espoo","<a href=""https://www.espoo.fi/fi/suvelan-asukaspuisto"" target=""_palvelu"">Suvelan asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/suvelan-asukaspuisto"" target=""_palvelu"">Suvela residents´park</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25495504 6671997)",Leikkipuisto Ruoholahti,"Laivapojankatu 8, 00180 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ruoholahti"" target=""_palvelu"">Leikkipuisto Ruoholahti</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ruoholahti"" target=""_palvelu"">Playground Ruoholahti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25482278 6673575)",Pisan asukaspuisto,"Vanha Pisantie 16, 02280 Espoo","<a href=""https://www.espoo.fi/fi/pisan-asukaspuisto"" target=""_palvelu"">Pisan asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/pisan-asukaspuisto"" target=""_palvelu"">Pisan asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25494257 6679596)",Leikkipuisto Ida,"Ida Aalbergin tie 8, 00400 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ida"" target=""_palvelu"">Leikkipuisto Ida</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ida"" target=""_palvelu"">Playground Ida</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25493147 6679956)",Leikkipuisto Laurinniitty,"Laurinniityntie 14 P, 00440 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-laurinniitty"" target=""_palvelu"">Leikkipuisto Laurinniitty</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-laurinniitty"" target=""_palvelu"">Playground Laurinniitty</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497633 6676041)",Perhetalo Sahrami,"Kangasalantie 11, 00550 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/perhetalo-sahrami"" target=""_palvelu"">Perhetalo Sahrami</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/perhetalo-sahrami"" target=""_palvelu"">Family House Sahrami</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25501798 6676153)",Leikkipuisto Orava,"Karhutie 11, 00800 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-orava"" target=""_palvelu"">Leikkipuisto Orava</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-orava"" target=""_palvelu"">Playground Orava</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25494016 6677861)",Leikkipuisto Isoneva,"Isonnevantie 16a, 00320 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-isonneva"" target=""_palvelu"">Leikkipuisto Isoneva</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-isonneva"" target=""_palvelu"">Playground Isoneva</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25485922 6671652)",Matinkylän asukaspuisto,"Matinraitti 12, 02230 Espoo",Matinkylän asukaspuisto,Matinkylän asukaspuisto,Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492543 6677136)",Leikkipuisto Ulvila,"Ulvilantie 17b, 00350 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ulvila"" target=""_palvelu"">Leikkipuisto Ulvila</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ulvila"" target=""_palvelu"">Playground Ulvila</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25506792 6676652)",Leikkipuisto Haruspuisto,"Meri-Rastilan tori 7, 00980 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-haruspuisto"" target=""_palvelu"">Leikkipuisto Haruspuisto</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-haruspuisto"" target=""_palvelu"">Playground Haruspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25506820 6680438)",Leikkipuisto Mellunmäki,"Pyhätunturintie 2, 00970 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-mellunmaki"" target=""_palvelu"">Leikkipuisto Mellunmäki</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-mellunmaki"" target=""_palvelu"">Playground Mellunmäki</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25502697 6671046)",Leikkipuisto Santahamina,"Kadettikouluntie 5, 00860 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-santahamina"" target=""_palvelu"">Leikkipuisto Santahamina</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-santahamina"" target=""_palvelu"">Playground Santahamina</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
